center,left,right,steering,throttle,reverse,speed
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_00_140.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_00_140.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_00_140.jpg,0,1,0,8.153249
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_00_215.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_00_215.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_00_215.jpg,0,1,0,9.054485
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_00_284.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_00_284.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_00_284.jpg,0,1,0,9.948665
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_00_352.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_00_352.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_00_352.jpg,0,1,0,10.61468
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_00_424.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_00_424.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_00_424.jpg,-0.15,1,0,11.58884
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_00_497.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_00_497.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_00_497.jpg,0,1,0,11.90388
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_00_569.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_00_569.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_00_569.jpg,0,1,0,13.02596
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_00_639.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_00_639.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_00_639.jpg,0,1,0,13.65664
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_00_713.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_00_713.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_00_713.jpg,0,1,0,14.5555
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_00_788.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_00_788.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_00_788.jpg,0,1,0,15.41134
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_00_864.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_00_864.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_00_864.jpg,0,1,0,16.24245
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_00_939.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_00_939.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_00_939.jpg,0,1,0,16.82018
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_01_010.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_01_010.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_01_010.jpg,0,1,0,17.66606
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_01_081.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_01_081.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_01_081.jpg,0,1,0,18.30469
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_01_152.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_01_152.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_01_152.jpg,-0.2,1,0,19.10605
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_01_221.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_01_221.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_01_221.jpg,-0.35,1,0,19.67374
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_01_295.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_01_295.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_01_295.jpg,0,1,0,20.46677
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_01_374.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_01_374.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_01_374.jpg,0,1,0,21.26752
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_01_449.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_01_449.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_01_449.jpg,0,1,0,22.06609
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_01_525.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_01_525.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_01_525.jpg,0,1,0,22.85834
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_01_596.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_01_596.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_01_596.jpg,0,1,0,23.45067
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_01_665.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_01_665.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_01_665.jpg,0,1,0,24.22851
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_01_737.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_01_737.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_01_737.jpg,0,1,0,24.80781
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_01_807.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_01_807.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_01_807.jpg,0,1,0,25.57575
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_01_875.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_01_875.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_01_875.jpg,0,1,0,26.14758
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_01_943.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_01_943.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_01_943.jpg,0,1,0,26.9046
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_02_014.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_02_014.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_02_014.jpg,-0.05,1,0,27.46779
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_02_082.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_02_082.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_02_082.jpg,-0.25,1,0,28.18152
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_02_154.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_02_154.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_02_154.jpg,0,1,0,28.68705
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_02_223.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_02_223.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_02_223.jpg,0,1,0,29.41945
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_02_296.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_02_296.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_02_296.jpg,0,1,0,29.96698
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_02_368.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_02_368.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_02_368.jpg,0,1,0,30.19036
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_02_441.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_02_441.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_02_441.jpg,0,1,0,30.19028
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_02_515.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_02_515.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_02_515.jpg,0,1,0,30.19028
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_02_590.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_02_590.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_02_590.jpg,0,1,0,30.19029
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_02_664.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_02_664.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_02_664.jpg,0,1,0,30.19029
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_02_737.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_02_737.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_02_737.jpg,0,1,0,30.19033
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_02_809.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_02_809.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_02_809.jpg,0,1,0,30.1903
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_02_881.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_02_881.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_02_881.jpg,0,1,0,30.19029
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_02_950.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_02_950.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_02_950.jpg,0,1,0,30.1903
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_03_018.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_03_018.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_03_018.jpg,0,1,0,30.1903
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_03_090.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_03_090.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_03_090.jpg,0,1,0,30.19032
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_03_166.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_03_166.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_03_166.jpg,0,1,0,30.19031
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_03_237.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_03_237.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_03_237.jpg,0,1,0,30.19031
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_03_310.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_03_310.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_03_310.jpg,0,1,0,30.19031
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_03_377.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_03_377.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_03_377.jpg,0,1,0,30.1903
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_03_448.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_03_448.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_03_448.jpg,0,1,0,30.19031
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_03_521.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_03_521.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_03_521.jpg,0,1,0,30.19031
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_03_590.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_03_590.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_03_590.jpg,0,1,0,30.1903
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_03_670.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_03_670.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_03_670.jpg,0,1,0,30.19031
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_03_743.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_03_743.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_03_743.jpg,0,1,0,30.19029
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_03_812.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_03_812.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_03_812.jpg,0,1,0,30.1903
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_03_888.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_03_888.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_03_888.jpg,-0.15,1,0,30.18421
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_03_958.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_03_958.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_03_958.jpg,-0.3,1,0,30.16929
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_04_030.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_04_030.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_04_030.jpg,0,1,0,30.18988
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_04_105.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_04_105.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_04_105.jpg,0,1,0,30.19009
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_04_178.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_04_178.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_04_178.jpg,0,1,0,30.19029
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_04_254.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_04_254.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_04_254.jpg,0,1,0,30.1903
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_04_325.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_04_325.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_04_325.jpg,0,1,0,30.19031
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_04_401.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_04_401.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_04_401.jpg,0,1,0,30.19029
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_04_482.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_04_482.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_04_482.jpg,0,1,0,30.19031
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_04_557.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_04_557.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_04_557.jpg,0,1,0,30.19029
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_04_629.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_04_629.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_04_629.jpg,0,1,0,30.19031
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_04_704.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_04_704.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_04_704.jpg,0,1,0,30.1903
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_04_781.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_04_781.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_04_781.jpg,0,1,0,30.1903
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_04_859.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_04_859.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_04_859.jpg,0,1,0,30.19029
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_04_934.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_04_934.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_04_934.jpg,0,1,0,30.19028
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_05_007.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_05_007.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_05_007.jpg,0,1,0,30.19029
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_05_082.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_05_082.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_05_082.jpg,0,1,0,30.19029
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_05_157.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_05_157.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_05_157.jpg,0,1,0,30.1903
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_05_232.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_05_232.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_05_232.jpg,0,1,0,30.19029
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_05_303.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_05_303.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_05_303.jpg,0,1,0,30.19029
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_05_375.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_05_375.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_05_375.jpg,0,1,0,30.1903
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_05_448.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_05_448.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_05_448.jpg,0,1,0,30.19027
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_05_527.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_05_527.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_05_527.jpg,0,1,0,30.19035
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_05_599.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_05_599.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_05_599.jpg,0,1,0,30.19031
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_05_673.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_05_673.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_05_673.jpg,0,1,0,30.19029
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_05_746.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_05_746.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_05_746.jpg,-0.15,1,0,30.18419
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_05_819.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_05_819.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_05_819.jpg,-0.3,1,0,30.16926
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_05_891.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_05_891.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_05_891.jpg,0,1,0,30.1899
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_05_961.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_05_961.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_05_961.jpg,0,1,0,30.19008
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_06_031.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_06_031.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_06_031.jpg,0,1,0,30.19023
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_06_106.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_06_106.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_06_106.jpg,0,1,0,30.19026
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_06_186.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_06_186.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_06_186.jpg,0,1,0,30.19032
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_06_255.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_06_255.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_06_255.jpg,0,1,0,30.19027
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_06_328.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_06_328.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_06_328.jpg,0,1,0,30.19029
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_06_400.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_06_400.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_06_400.jpg,0,1,0,30.19029
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_06_467.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_06_467.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_06_467.jpg,0,1,0,30.19029
E:\racing team\car task\data\IMG\center_2023_09_20_22_10_06_539.jpg,E:\racing team\car task\data\IMG\left_2023_09_20_22_10_06_539.jpg,E:\racing team\car task\data\IMG\right_2023_09_20_22_10_06_539.jpg,0,1,0,30.19028
